scraped_at,platform,city,zone,zone_type,address_id,address,product,restaurant,available,product_price_mxn,delivery_fee_mxn,service_fee_mxn,discount_mxn,eta_min_minutes,eta_max_minutes,final_total_mxn,evidence_url,notes,eta_avg_minutes,fee_total_mxn,is_rappi,rappi_total,rappi_eta,rappi_fees,total_gap_vs_rappi_pct,eta_gap_vs_rappi_min,fee_gap_vs_rappi_pct
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Roma Norte,alta demanda,MXCDMX-001,"Av. Alvaro Obregon 120, Roma Norte, CDMX",Big Mac,McDonald's,True,97.69,34.96,9.77,0.0,34.0,42.0,142.42,,reproducible_seed_dataset,38.0,44.730000000000004,False,124.49,25.0,36.26,-0.12589523943266392,-13.0,-0.18935837245696413
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Roma Norte,alta demanda,MXCDMX-001,"Av. Alvaro Obregon 120, Roma Norte, CDMX",Combo mediano,McDonald's,True,152.01,33.46,15.2,24.32,31.0,43.0,176.35,,reproducible_seed_dataset,37.0,48.66,False,184.33,22.0,35.46,0.04525092146299982,-15.0,-0.2712700369913686
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Roma Norte,alta demanda,MXCDMX-001,"Av. Alvaro Obregon 120, Roma Norte, CDMX",Nuggets 10 piezas,McDonald's,True,118.0,18.76,11.8,0.0,35.0,43.0,148.56,,reproducible_seed_dataset,39.0,30.560000000000002,False,143.44,42.5,29.990000000000002,-0.03446418955304257,3.5,-0.018651832460732994
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Roma Norte,alta demanda,MXCDMX-001,"Av. Alvaro Obregon 120, Roma Norte, CDMX",Coca-Cola 500ml,Retail benchmark,True,35.19,28.47,3.52,2.82,31.0,43.0,64.36,,reproducible_seed_dataset,37.0,31.99,False,83.31,41.0,49.73,0.29443753884400253,4.0,0.554548296342607
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Roma Norte,alta demanda,MXCDMX-001,"Av. Alvaro Obregon 120, Roma Norte, CDMX",Agua 1L,Retail benchmark,True,29.29,36.89,2.93,4.69,38.0,46.0,64.42,,reproducible_seed_dataset,42.0,39.82,False,54.74,27.5,27.5,-0.15026389320086928,-14.5,-0.30939226519337015
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Condesa,alta demanda,MXCDMX-002,"Av. Tamaulipas 150, Condesa, CDMX",Big Mac,McDonald's,True,96.89,32.17,9.69,0.0,37.0,49.0,138.75,,reproducible_seed_dataset,43.0,41.86,False,124.7,24.0,32.41,-0.10126126126126124,-19.0,-0.22575250836120409
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Condesa,alta demanda,MXCDMX-002,"Av. Tamaulipas 150, Condesa, CDMX",Combo mediano,McDonald's,True,153.98,23.21,15.4,12.32,34.0,42.0,180.27,,reproducible_seed_dataset,38.0,38.61,False,168.1,32.0,37.01,-0.0675098463415988,-6.0,-0.04144004144004148
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Condesa,alta demanda,MXCDMX-002,"Av. Tamaulipas 150, Condesa, CDMX",Nuggets 10 piezas,McDonald's,True,115.53,20.68,11.55,9.24,37.0,49.0,138.52,,reproducible_seed_dataset,43.0,32.230000000000004,False,153.55,45.0,44.8,0.10850418712099336,2.0,0.390009308098045
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Condesa,alta demanda,MXCDMX-002,"Av. Tamaulipas 150, Condesa, CDMX",Coca-Cola 500ml,Retail benchmark,True,33.08,33.91,3.31,0.0,19.0,34.0,70.3,,reproducible_seed_dataset,26.5,37.22,False,82.53,42.0,52.11,0.17396870554765298,15.5,0.40005373455131654
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Condesa,alta demanda,MXCDMX-002,"Av. Tamaulipas 150, Condesa, CDMX",Agua 1L,Retail benchmark,True,31.12,32.9,3.11,0.0,20.0,35.0,67.13,,reproducible_seed_dataset,27.5,36.01,False,63.53,45.0,37.48,-0.05362729033219119,17.5,0.04082199389058592
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Polanco,premium,MXCDMX-003,"Av. Presidente Masaryk 320, Polanco, CDMX",Big Mac,McDonald's,True,106.36,36.33,10.64,0.0,32.0,40.0,153.33,,reproducible_seed_dataset,36.0,46.97,False,122.45,36.0,34.4,-0.20139568251483733,0.0,-0.267617628273366
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Polanco,premium,MXCDMX-003,"Av. Presidente Masaryk 320, Polanco, CDMX",Combo mediano,McDonald's,True,174.37,45.76,17.44,0.0,26.0,41.0,237.57,,reproducible_seed_dataset,33.5,63.2,False,211.22,39.0,42.2,-0.11091467777918085,5.5,-0.3322784810126582
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Polanco,premium,MXCDMX-003,"Av. Presidente Masaryk 320, Polanco, CDMX",Nuggets 10 piezas,McDonald's,True,124.53,20.8,12.45,9.96,17.0,32.0,147.82,,reproducible_seed_dataset,24.5,33.25,False,168.67,37.0,58.059999999999995,0.14104992558517113,12.5,0.7461654135338345
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Polanco,premium,MXCDMX-003,"Av. Presidente Masaryk 320, Polanco, CDMX",Coca-Cola 500ml,Retail benchmark,True,37.96,33.32,3.8,3.04,33.0,48.0,72.04,,reproducible_seed_dataset,40.5,37.12,False,90.8,28.0,53.78,0.2604108828428649,-12.5,0.4488146551724139
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Polanco,premium,MXCDMX-003,"Av. Presidente Masaryk 320, Polanco, CDMX",Agua 1L,Retail benchmark,True,31.66,49.55,3.17,5.07,34.0,42.0,79.31,,reproducible_seed_dataset,38.0,52.72,False,59.89,27.0,30.87,-0.24486193418232255,-11.0,-0.41445371775417295
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Santa Fe,corporativa,MXCDMX-004,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",Big Mac,McDonald's,True,96.12,37.59,9.61,7.69,28.0,40.0,135.63,,reproducible_seed_dataset,34.0,47.2,False,,,,,,
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Santa Fe,corporativa,MXCDMX-004,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",Combo mediano,McDonald's,True,166.86,21.08,16.69,13.35,36.0,44.0,191.28,,reproducible_seed_dataset,40.0,37.769999999999996,False,197.81,45.0,45.4,0.034138435800920124,5.0,0.20201217897802498
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Santa Fe,corporativa,MXCDMX-004,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",Nuggets 10 piezas,McDonald's,False,,,,,,,,,reproducible_seed_dataset,,,False,161.71,36.0,49.45,,,
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Santa Fe,corporativa,MXCDMX-004,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",Coca-Cola 500ml,Retail benchmark,True,35.35,18.57,3.54,0.0,39.0,49.0,57.46,,reproducible_seed_dataset,44.0,22.11,False,91.5,45.0,56.410000000000004,0.5924121127741037,1.0,1.5513342379014023
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Santa Fe,corporativa,MXCDMX-004,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",Agua 1L,Retail benchmark,True,32.19,36.01,3.22,0.0,27.0,35.0,71.42,,reproducible_seed_dataset,31.0,39.23,False,81.23,29.0,49.51,0.1373564827779334,-2.0,0.2620443538108591
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Coyoacan,residencial,MXCDMX-005,"Miguel Angel de Quevedo 687, Coyoacan, CDMX",Big Mac,McDonald's,True,90.0,34.02,9.0,14.4,19.0,29.0,118.62,,reproducible_seed_dataset,24.0,43.02,False,127.33,44.5,41.55,0.073427752486933,20.5,-0.03417015341701548
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Coyoacan,residencial,MXCDMX-005,"Miguel Angel de Quevedo 687, Coyoacan, CDMX",Combo mediano,McDonald's,True,152.47,16.97,15.25,24.4,33.0,43.0,160.29,,reproducible_seed_dataset,38.0,32.22,False,210.86,23.0,59.760000000000005,0.31549067315490686,-15.0,0.8547486033519556
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Coyoacan,residencial,MXCDMX-005,"Miguel Angel de Quevedo 687, Coyoacan, CDMX",Nuggets 10 piezas,McDonald's,True,107.51,35.65,10.75,8.6,31.0,39.0,145.31,,reproducible_seed_dataset,35.0,46.4,False,132.6,33.5,30.3,-0.08746817149542363,-1.5,-0.3469827586206896
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Coyoacan,residencial,MXCDMX-005,"Miguel Angel de Quevedo 687, Coyoacan, CDMX",Coca-Cola 500ml,Retail benchmark,True,32.31,25.64,3.23,2.58,24.0,36.0,58.6,,reproducible_seed_dataset,30.0,28.87,False,66.26,26.0,32.84,0.1307167235494881,-4.0,0.13751298926220998
